index,name,slug,equipment,movement_pattern,measurement_type,default_unit,calories_estimation_method,primary_muscle,primary_muscles,secondary_muscles,pattern_detail,plane_of_motion,exercise_utility,body_position,training_goal,difficulty,setup_cost,stability_requirement,unilateral_profile,loading_profile,joint_emphasis,spine_demand,grip_constraint,how_to_short
1,Ab Wheel Rollout,ab-wheel-rollout,Bodyweight,push,reps,reps,,core,core,hip flexors,trunk_bracing,sagittal,auxiliary,kneeling,core_stability | accessory,advanced,quick_setup,freestanding,bilateral,bodyweight,trunk_bracing,low_spinal_load,,"Brace hard before you roll, reach only as far as you can keep ribs and pelvis stacked, then pull back without letting the low back sag."
2,Abductor Machine,abductor-machine,Machine,push,reps,reps,,"abductors, glutes",abductors | glutes,core,hip_abduction,frontal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,hip_abduction,low_spinal_load,,"Sit tall with the hips square, press the knees outward from the hip joint, and return without bouncing off the stack."
3,Adductor Machine,adductor-machine,Machine,push,reps,reps,,adductors,adductors,core,hip_adduction,frontal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,hip_adduction,low_spinal_load,,"Sit upright with the pelvis still, squeeze the legs inward through the pads, and return under control."
4,Air Bike Sprint,air-bike-sprint,Cardio Machine,push,time_distance,m,machine_reported,cardio,cardio,,cycling,sagittal,basic,standing,conditioning | power,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Drive the handles and pedals aggressively with a rigid trunk, hold the target effort for the interval, and ease down under control when the work ends."
5,Alternating Dumbbell Curl,alternating-dumbbell-curl,Dumbbell,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,quick_setup,freestanding,alternating,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
6,Arnold Press,arnold-press,Dumbbell,push,reps,reps,,"front delts, side delts",chest | triceps,front delts,vertical_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,vertical_press,low_spinal_load,,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
7,Back Extension,back-extension,Bodyweight,hinge,reps,reps,,lower back,lower back,glutes | hamstrings,hip_extension,sagittal,auxiliary,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
8,Back Squat,back-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,core | adductors,squat,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
9,Barbell Bench Press,barbell-bench-press,Barbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
10,Barbell Curl,barbell-curl,Barbell,pull,reps,reps,,biceps,biceps,forearms,elbow_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,high_setup,freestanding,bilateral,free_weight,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
11,Barbell Row,barbell-row,Barbell,pull,reps,reps,,"lats, mid back",lats | mid back,rear delts | biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
12,Bulgarian Split Squat,bulgarian-split-squat,Dumbbell,push,reps,reps,,"quads, glutes",quads | glutes,adductors | core,split_squat_lunge,sagittal,auxiliary,split_stance,strength | hypertrophy,advanced,quick_setup,balance_demanding,unilateral,free_weight,knee_dominant,moderate_spinal_load,,"Stay tall through the trunk, lower until the lead leg takes the load and the back knee approaches the floor, then drive through the front foot."
